ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
1,6,109,2,2,2,30000000,5486209,17833000
1,6.9,107,3,2,3,25000000,5623373,11008432
1,5.8,121,2,2,2,15000000,5745780,12549485
1,7.5,107,3,2,3,35000000,5808919,19389454
0,6.5,84,2,2,3,8600000,5856872,32685679
0,7.4,111,2,2,2,20000000,5935256,30028592
1,6.5,140,3,3,2,60000000,6004219,13082288
0,4.8,85,2,2,2,35000000,6013847,60694737
1,5.8,111,2,2,1,23000000,6081483,12189514
1,6.7,130,3,3,3,30000000,6262396,15709385
1,6.1,109,3,2,3,40000000,6293205,13698390
0,5.7,116,2,2,3,26000000,6402741,35402000
1,7.2,126,2,2,3,35000000,6422455,18324242
0,5.5,98,2,2,2,17000000,6660540,22734486
1,6.5,93,2,2,2,25000000,6711384,17718223
1,4.7,102,2,2,3,25000000,6800617,14379751
0,1.7,87,2,2,2,25000000,6945535,34816824
1,5,87,1,2,2,30000000,7009513,15589458
1,3.5,91,2,2,2,70000000,7010474,14294842
0,6.9,107,3,3,2,7000000,7067335,19390029
1,3.2,101,2,1,1,42000000,7087457,13208023
1,7.3,130,1,1,3,50000000,7117225,19593740
1,6.1,96,3,3,3,70000000,7133049,55286454
1,5.6,125,2,2,4,42000000,7160521,15738632
1,3.6,107,2,2,2,35000000,7237422,33807409
0,6.6,97,3,3,2,23000000,7347259,37000000
1,6.8,152,3,2,3,72000000,7366207,37317558
1,5.7,90,3,4,3,22000000,7411852,19351569
1,5.3,121,4,2,3,120000000,7484696,30212620
0,5.2,94,2,2,2,7000000,7562284,23247539
1,5.8,115,2,2,3,16000000,7571417,15045676
0,4.5,91,1,1,2,9000000,7602507,20035310
0,5.6,90,2,3,2,6000000,7720942,22235901
0,6.7,115,3,2,2,24000000,7820836,32662299
0,6.6,101,3,3,2,30000000,7849304,46432264
0,4.6,97,2,2,2,28000000,7954766,31355910
0,6,90,2,3,2,8000000,8003241,17427926
0,6.8,124,2,3,2,15000000,8139180,27441122
0,8.5,108,3,2,3,20000000,8175198,34126138
0,5.8,101,2,2,2,20000000,8265357,41622502
1,6.2,102,2,2,2,35000000,8319171,25266129
1,5.3,116,3,3,2,80000000,8440629,43935763
0,3.8,97,2,2,2,15000000,8505513,38574362
0,6.1,130,2,2,2,16000000,8606403,28734552
1,7.4,134,3,3,3,60000000,8611147,37479778
1,8,143,3,2,4,100000000,8648324,57312489
1,5.2,104,2,3,3,52000000,8653542,23020488
0,5.1,87,2,2,2,12000000,8774520,24741977
1,4.9,97,3,2,3,50000000,8904299,25195050
1,2.8,98,3,2,2,70000000,9013548,25852764
1,6.8,101,2,4,3,31000000,9021494,24185781
0,7.3,118,2,2,3,22000000,9025584,68106245
1,5.2,97,2,2,3,33000000,9062295,28927720
0,4.7,88,2,2,2,20000000,9106906,25077977
0,6.6,92,3,3,3,21000000,9107816,25296447
0,6,100,2,1,2,19000000,9202815,25893485
1,5.9,120,2,3,3,50000000,9307394,31874869
0,4.2,89,2,2,3,15000000,9350572,33051296
0,7.5,123,3,3,3,21000000,9405582,43090741
1,5.9,118,3,2,3,55000000,9411055,33828318
0,6,77,1,1,2,20000000,9427532,45542421
0,7.4,167,4,2,4,97000000,9496870,190000000
1,4.4,75,3,2,2,35000000,9510297,25871834
0,4.3,83,2,2,3,22000000,9626287,22264487
1,6.9,123,2,3,3,40000000,9631359,33508922
1,4.8,97,2,2,2,35000000,9633085,19297522
1,6.7,117,3,3,3,60000000,9716458,31670931
0,6.8,119,3,3,3,25000000,9833340,39008741
0,7.1,114,2,3,3,22000000,10006327,23530831
0,4.6,107,2,3,2,18000000,10011682,22452209
0,4.3,96,2,4,2,29000000,10024648,36684100
0,5.6,99,2,4,3,40000000,10025203,62771059
0,6.5,94,2,2,3,25000000,10100571,56422687
0,6,88,3,3,3,24000000,10106872,25003155
1,6.2,135,3,3,3,65000000,10207869,32598931
1,6.6,113,2,2,3,52000000,10214734,34636443
1,5.8,104,3,3,3,60000000,10216025,30063805
0,6.6,129,3,3,3,25100000,10505668,29434429
1,3.4,90,2,3,2,58000000,10518435,35231365
1,6.4,123,3,3,3,57000000,10618711,26838389
0,4.6,85,2,3,2,9000000,10726406,23086480
0,6.4,105,3,2,3,20000000,10730372,33687630
1,6.4,137,3,2,3,60000000,10833633,27011180
1,5.4,116,3,2,3,70000000,11007367,65977295
0,6.8,122,3,2,3,35000000,11014818,38700761
1,6.1,119,3,2,3,40000000,11015226,25178165
0,6.2,97,3,2,3,58000000,11100392,61347797
0,4.7,85,2,2,2,8500000,11326601,28563926
0,5.6,106,2,2,3,35000000,11423716,36779296
0,5.7,105,2,2,2,20000000,11434964,35990505
0,5.9,103,3,4,4,45000000,11458465,65470529
0,6.3,104,2,2,3,28000000,11704357,43052274
0,5.2,123,2,2,2,15000000,11758372,30238577
0,6,106,2,2,3,50000000,11783467,170128460
1,4.1,117,3,2,2,40000000,12020807,30981850
0,4.6,86,2,2,2,11000000,12024917,47488536
0,4.1,97,3,3,3,25000000,12029832,36609966
0,5.3,135,2,3,3,60000000,12053131,74208267
0,7.3,98,3,2,3,30000000,12120358,50222058
0,6.5,108,2,2,3,22000000,12211986,57479076
0,5.4,96,1,3,3,17000000,12229529,40500000
0,5.9,98,2,3,2,10000000,12231160,25464480
1,6.1,91,2,2,3,70000000,12286129,42086887
0,3.9,94,2,2,2,15000000,12292121,37664855
0,7.2,91,2,2,3,18000000,12292952,60057639
0,6.2,104,3,2,3,35000000,12634563,76747441
1,5.4,93,2,2,3,62000000,12661112,25857987
